Frame,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
78,0.6913,1.5356,0.1122,0.0298,-0.0421,-0.0303,0.9982
79,0.69,1.5357,0.1115,0.0291,-0.0456,-0.0306,0.9981
80,0.6888,1.5366,0.1105,0.0253,-0.0513,-0.0314,0.9979
81,0.6882,1.5379,0.1103,0.02,-0.0568,-0.0327,0.9976
82,0.6885,1.5392,0.111,0.0157,-0.0598,-0.0341,0.9975
83,0.6895,1.5399,0.1124,0.0139,-0.0591,-0.0353,0.9975
84,0.69,1.5408,0.1139,0.0106,-0.0601,-0.036,0.9975
85,0.6897,1.5424,0.1158,0.0051,-0.0646,-0.0374,0.9972
86,0.6902,1.5442,0.1183,-0.0023,-0.0656,-0.0382,0.9971
87,0.6916,1.546,0.1205,-0.0097,-0.0617,-0.0389,0.9973
88,0.6929,1.5472,0.1221,-0.014,-0.0563,-0.0402,0.9975
89,0.6941,1.5484,0.1236,-0.0181,-0.0522,-0.0408,0.9976
90,0.695,1.5498,0.1247,-0.0234,-0.0508,-0.0419,0.9976
91,0.696,1.5511,0.1257,-0.0283,-0.0501,-0.0424,0.9974
92,0.697,1.5525,0.1268,-0.0337,-0.0487,-0.0447,0.9972
93,0.6979,1.5538,0.1276,-0.0392,-0.0467,-0.045,0.9971
94,0.6983,1.5551,0.1278,-0.045,-0.0452,-0.0455,0.9969
95,0.6986,1.5567,0.128,-0.0521,-0.0444,-0.0462,0.9966
96,0.6991,1.5581,0.1285,-0.0578,-0.0423,-0.0466,0.9963
97,0.6994,1.5584,0.1286,-0.0585,-0.0403,-0.0471,0.9964
98,0.6996,1.5589,0.1287,-0.0601,-0.0393,-0.0485,0.9962
99,0.6997,1.5595,0.128,-0.0634,-0.0381,-0.0485,0.9961
100,0.6998,1.5602,0.127,-0.0665,-0.0363,-0.0479,0.996
101,0.6999,1.5611,0.1255,-0.0708,-0.0357,-0.0482,0.9957
102,0.7002,1.5625,0.1239,-0.077,-0.0348,-0.0487,0.9952
103,0.7005,1.5636,0.1217,-0.0814,-0.0331,-0.0492,0.9949
104,0.7012,1.5644,0.1193,-0.0854,-0.0308,-0.0505,0.9946
105,0.7023,1.5647,0.1169,-0.0871,-0.0284,-0.0518,0.9944
106,0.7033,1.5649,0.1145,-0.0881,-0.0272,-0.0527,0.9944
107,0.7042,1.5656,0.1128,-0.091,-0.0263,-0.0541,0.994
108,0.7053,1.5655,0.1112,-0.0908,-0.0241,-0.0556,0.994
109,0.7062,1.5659,0.1106,-0.0925,-0.0223,-0.0565,0.9939
110,0.7069,1.5665,0.1105,-0.0951,-0.0206,-0.0572,0.9936
111,0.7079,1.5678,0.1105,-0.1001,-0.0184,-0.0595,0.993
112,0.7098,1.5691,0.1108,-0.1066,-0.0137,-0.0629,0.9922
113,0.7117,1.5701,0.1113,-0.1108,-0.0077,-0.0647,0.9917
114,0.7129,1.5703,0.112,-0.112,-0.0049,-0.065,0.9916
115,0.7129,1.5708,0.1127,-0.1138,-0.0074,-0.0647,0.9914
116,0.7128,1.5717,0.1132,-0.1183,-0.0093,-0.0649,0.9908
117,0.7131,1.573,0.1138,-0.1245,-0.0091,-0.0657,0.99
118,0.7135,1.5735,0.1144,-0.1262,-0.0084,-0.0673,0.9897
119,0.7136,1.5741,0.115,-0.1294,-0.008,-0.0673,0.9893
120,0.7142,1.5749,0.1155,-0.133,-0.0063,-0.0693,0.9887
121,0.7152,1.5756,0.1162,-0.1369,-0.0017,-0.0716,0.988
122,0.7159,1.5756,0.1176,-0.1377,0.0038,-0.0728,0.9878
123,0.7157,1.5754,0.1187,-0.1374,0.0059,-0.0715,0.9879
